#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
2,0.149874,3.5535,5.1475,-2.3399,11.0765,12.0828,10.1179
3,0.162399,3.5584,5.1056,-2.2466,10.8227,11.8041,9.8757
4,0.187647,3.5678,5.0407,-2.0724,10.3426,11.2647,9.4215
5,0.250609,3.5911,4.9616,-1.7365,9.387,10.1567,8.5325
6,0.352838,3.6182,4.924,-1.3895,8.4084,9.0445,7.6242
7,0.48575,3.6262,4.858,-1.1157,7.7169,8.3513,6.9455
8,0.479377,3.6136,4.9029,-1.297,8.2332,8.9513,7.4265
9,0.383469,3.5984,4.9629,-1.5828,9.0106,9.8069,8.1638
10,0.352874,3.5935,4.983,-1.6676,9.2387,10.0569,8.3806
11,0.349042,3.5924,4.9844,-1.6765,9.2653,10.0851,8.4046
12,0.350416,3.5929,4.9816,-1.6724,9.2525,10.072,8.3931
13,0.353466,3.5933,4.9768,-1.6619,9.2252,10.0432,8.367
14,0.360805,3.5947,4.9678,-1.6396,9.1666,9.9801,8.3108
15,0.368421,3.5947,4.9604,-1.6194,9.1121,9.9241,8.2584
16,0.472108,3.6144,4.8586,-1.3183,8.2728,8.9805,7.4736
17,0.721927,3.6652,4.6229,-0.596,6.3041,6.8001,5.6266
18,0.682281,3.6633,4.656,-0.6939,6.5792,7.1056,5.8887
19,0.478628,3.6258,4.8347,-1.2584,8.1024,8.7805,7.3262
20,0.487035,3.6306,4.8228,-1.2222,7.9992,8.6599,7.2332
21,0.530354,3.6445,4.7764,-1.0759,7.591,8.1952,6.8596
22,0.571611,3.6638,4.7324,-0.9169,7.1349,7.6615,6.4564
23,0.591372,3.6777,4.7172,-0.8333,6.8824,7.3538,6.2432
24,0.589769,3.6812,4.7324,-0.8387,6.8844,7.342,6.2576
25,0.584953,3.6824,4.7489,-0.8562,6.9193,7.3703,6.2989
26,0.582321,3.6839,4.7596,-0.8649,6.9348,7.3825,6.3193
27,0.581965,3.6846,4.7647,-0.8677,6.9405,7.3887,6.3276
28,0.583012,3.6862,4.7682,-0.8643,6.9328,7.3804,6.3228
29,0.591657,3.6917,4.7662,-0.8332,6.844,7.2767,6.2465
30,0.614106,3.7052,4.7568,-0.754,6.61,7.0042,6.0437
31,0.6533,3.7296,4.7428,-0.6138,6.1967,6.5201,5.6875
32,0.708338,3.763,4.7256,-0.4223,5.6505,5.8867,5.2175
33,0.775329,3.7983,4.6953,-0.2072,5.0731,5.2383,4.7076
34,0.856165,3.8377,4.6549,0.0443,4.4377,4.5493,4.1291
35,1.875414,4.1988,3.9727,2.7303,-2.1954,-2.6995,-1.8185
36,1.558361,4.058,4.1571,1.7853,0.2674,0.0507,0.3698
37,1.10096,3.8752,4.4584,0.4851,3.5163,3.6267,3.2744
38,1.16396,3.8951,4.4271,0.624,3.1775,3.2599,2.9752
39,1.205183,3.9065,4.4147,0.7005,2.9921,3.0589,2.8133
40,1.241863,3.9172,4.4064,0.7665,2.8313,2.8867,2.6755
41,1.290957,3.9322,4.3946,0.8572,2.6093,2.6468,2.4851
42,1.364414,3.9554,4.3753,0.9977,2.2624,2.272,2.1866
43,1.427751,3.9771,4.3692,1.1143,1.9796,1.9631,1.9512
44,1.473217,3.9953,4.3818,1.1907,1.7969,1.7593,1.8086
45,1.498502,4.0098,4.4107,1.2243,1.7227,1.6681,1.7698
46,1.450245,4.003,4.4609,1.1307,1.9551,1.9104,1.9939
47,1.462762,4.0133,4.4963,1.1397,1.9456,1.8889,2.0075
48,1.475705,4.0228,4.5261,1.1516,1.927,1.8618,2.0098
49,1.488794,4.0311,4.548,1.1644,1.9033,1.8303,2.0037
50,1.520922,4.0427,4.5539,1.2143,1.7937,1.7068,1.919
51,1.562102,4.0559,4.5585,1.2756,1.6634,1.5617,1.8172
52,1.573184,4.0598,4.5643,1.2885,1.6448,1.5396,1.8074
53,1.583245,4.0628,4.568,1.2997,1.6343,1.5258,1.8047
54,1.592349,4.0658,4.5705,1.3094,1.6298,1.5189,1.8064
55,1.600866,4.0674,4.5716,1.3178,1.6294,1.5171,1.8116
56,1.60923,4.0693,4.5715,1.3264,1.6316,1.5176,1.8178
57,1.618011,4.0708,4.5718,1.3361,1.6333,1.5184,1.8238
58,1.627425,4.0728,4.5715,1.3463,1.6342,1.5182,1.8277
59,1.637177,4.075,4.5704,1.3572,1.6346,1.5183,1.8311
60,1.646904,4.0772,4.5691,1.3678,1.6348,1.5186,1.8325
61,1.656283,4.0783,4.5683,1.3784,1.6351,1.5195,1.8332
62,1.663769,4.0795,4.5674,1.386,1.6397,1.5263,1.8353
63,1.669509,4.0804,4.5665,1.3913,1.6483,1.5377,1.8399
64,1.674494,4.0809,4.5654,1.3954,1.6567,1.548,1.8425
65,1.680572,4.0822,4.5644,1.4015,1.6601,1.554,1.8425
66,1.690659,4.0841,4.5625,1.4129,1.6515,1.5462,1.8312
