#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
9,0.111752,3.5341,5.3262,-2.7503,12.2176,13.4028,11.1949
10,0.122991,3.5395,5.2768,-2.6376,11.9052,13.0445,10.8996
11,0.137537,3.5459,5.2242,-2.5108,11.5539,12.6436,10.5677
12,0.159828,3.555,5.1714,-2.3565,11.122,12.1478,10.1622
13,0.188316,3.5651,5.1288,-2.2024,10.6888,11.6515,9.757
14,0.211582,3.5713,5.0977,-2.0958,10.3951,11.3228,9.4801
15,0.230388,3.5753,5.0742,-2.0191,10.1866,11.0924,9.2824
16,0.247759,3.5786,5.0544,-1.9547,10.0127,10.9015,9.1169
17,0.266066,3.5817,5.036,-1.8931,9.8466,10.7198,8.9587
18,0.282422,3.5842,5.0209,-1.8421,9.7096,10.5705,8.8281
19,0.295475,3.5861,5.0084,-1.8022,9.603,10.4547,8.7263
20,0.304403,3.5874,4.999,-1.7749,9.53,10.3757,8.6565
21,0.310216,3.5881,4.9925,-1.7571,9.4829,10.325,8.6113
22,0.315002,3.5887,4.9873,-1.7427,9.4448,10.2839,8.5747
23,0.319072,3.5893,4.9828,-1.7307,9.4128,10.2496,8.544
24,0.322655,3.5897,4.9792,-1.7203,9.3854,10.22,8.5178
25,0.326452,3.5902,4.9757,-1.7098,9.3575,10.1899,8.4911
26,0.331573,3.5908,4.972,-1.6968,9.3224,10.1517,8.4578
27,0.33771,3.5915,4.9687,-1.6826,9.2841,10.1106,8.4214
28,0.366175,3.5968,4.9432,-1.6023,9.061,9.8607,8.2126
29,0.417446,3.6074,4.8913,-1.4493,8.6447,9.4001,7.8219
30,0.430801,3.6111,4.8746,-1.404,8.5192,9.2592,7.7055
31,0.442425,3.6146,4.8596,-1.363,8.4048,9.1302,7.6002
32,0.455409,3.6191,4.8431,-1.316,8.2737,8.9813,7.4801
33,0.464239,3.6234,4.8308,-1.2789,8.167,8.8569,7.3843
34,0.480734,3.6308,4.8115,-1.2153,7.9854,8.6461,7.2219
35,0.495322,3.638,4.796,-1.1581,7.8201,8.4518,7.076
36,0.507902,3.6446,4.7844,-1.109,7.6756,8.2803,6.9501
37,0.518052,3.6505,4.7765,-1.0687,7.5557,8.1364,6.8467
38,0.527118,3.6561,4.7704,-1.0325,7.4468,8.0056,6.7537
39,0.535369,3.6615,4.7653,-0.9996,7.3481,7.8872,6.6697
40,0.543691,3.6669,4.7607,-0.9666,7.2497,7.77,6.5856
41,0.553447,3.6732,4.7557,-0.9284,7.1362,7.6358,6.4883
42,0.56563,3.6811,4.7494,-0.8812,6.9968,7.4717,6.3683
43,0.579898,3.6904,4.7427,-0.8263,6.8367,7.2844,6.2304
44,0.595963,3.7007,4.7348,-0.7655,6.6629,7.0823,6.0802
45,0.612726,3.7109,4.7256,-0.7035,6.4892,6.8829,5.9287
46,0.629617,3.7207,4.7155,-0.6422,6.321,6.693,5.7801
47,0.646383,3.73,4.7045,-0.5825,6.1608,6.5127,5.638
48,0.662785,3.7387,4.6926,-0.525,6.0089,6.3422,5.5037
49,0.678081,3.7464,4.6804,-0.4722,5.8713,6.189,5.381
50,0.692063,3.753,4.6682,-0.4245,5.7486,6.0535,5.2706
51,0.704808,3.759,4.6565,-0.3813,5.6387,5.9329,5.1718
52,0.710653,3.7616,4.651,-0.3616,5.589,5.8783,5.1269
53,0.716395,3.7641,4.6455,-0.3423,5.5405,5.8249,5.0833
54,0.722057,3.7667,4.64,-0.3233,5.4928,5.7725,5.0405
55,0.727661,3.7691,4.6344,-0.3046,5.446,5.7211,4.9986
56,0.733222,3.7716,4.6288,-0.286,5.3997,5.6702,4.957
57,0.738733,3.7739,4.6231,-0.2677,5.354,5.6203,4.9161
58,0.744197,3.7763,4.6176,-0.2494,5.3089,5.5707,4.8755
59,0.749631,3.7786,4.6119,-0.2314,5.2642,5.522,4.8352
60,0.755035,3.7809,4.6063,-0.2135,5.2198,5.4736,4.7952
61,0.76039,3.7831,4.6007,-0.1957,5.1759,5.4258,4.7556
