 #EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
2,0.121512,3.5292,5.2709,-2.6759,12.0945,13.3587,11.0395
3,0.133559,3.5322,5.2224,-2.5739,11.8242,13.0633,10.7778
4,0.153296,3.5376,5.1601,-2.4287,11.4344,12.6293,10.4031
5,0.19918,3.5543,5.0897,-2.1713,10.7065,11.7757,9.7217
6,0.261277,3.5704,5.0447,-1.9398,10.0538,11.0209,9.1131
7,0.324443,3.5776,5.0064,-1.7799,9.629,10.5628,8.7061
8,0.33348,3.5778,4.9987,-1.7694,9.6036,10.5394,8.6812
9,0.327276,3.5768,4.9988,-1.7851,9.6476,10.5899,8.7222
10,0.328388,3.5769,4.9952,-1.78,9.6346,10.5763,8.7094
11,0.330804,3.5771,4.9907,-1.7711,9.6112,10.5511,8.6869
12,0.334253,3.5776,4.9853,-1.7593,9.5797,10.5172,8.6567
13,0.339181,3.5783,4.9784,-1.7432,9.5373,10.4713,8.616
14,0.346642,3.5794,4.9694,-1.7204,9.4761,10.4045,8.5577
15,0.359833,3.5813,4.9551,-1.6816,9.3709,10.2887,8.4578
16,0.459041,3.6015,4.8535,-1.3857,8.5412,9.3509,7.6847
17,0.477172,3.6071,4.83,-1.3229,8.3586,9.1395,7.5181
18,0.445797,3.6018,4.8579,-1.4098,8.5995,9.4101,7.7444
19,0.455486,3.6051,4.846,-1.3753,8.4989,9.2935,7.6532
20,0.470592,3.6104,4.8278,-1.3218,8.3443,9.1145,7.5127
21,0.484512,3.616,4.8111,-1.2701,8.1934,8.9387,7.3765
22,0.497429,3.6218,4.7964,-1.2208,8.0486,8.7692,7.2474
23,0.511402,3.6284,4.7824,-1.168,7.8927,8.5856,7.1095
24,0.527713,3.6367,4.7686,-1.1073,7.7105,8.3675,6.9503
25,0.545593,3.6474,4.7569,-1.0389,7.5018,8.1143,6.7716
26,0.56044,3.6566,4.7502,-0.983,7.3291,7.9038,6.6258
27,0.570619,3.6629,4.7466,-0.947,7.2164,7.7669,6.5313
28,0.576661,3.6669,4.7458,-0.9256,7.1494,7.6856,6.4755
29,0.58225,3.6707,4.7449,-0.9052,7.0865,7.6095,6.4225
30,0.59037,3.676,4.7427,-0.8763,6.9974,7.503,6.3467
31,0.604932,3.6851,4.7391,-0.8259,6.8438,7.3195,6.2165
32,0.634296,3.7022,4.7295,-0.7264,6.5495,6.9695,5.9671
33,0.688127,3.7323,4.7093,-0.5495,6.046,6.3883,5.5309
34,0.777712,3.7745,4.6672,-0.283,5.3357,5.593,4.9025
35,1.062162,3.8685,4.4655,0.446,3.5296,3.6251,3.2754
36,0.937171,3.817,4.542,0.0899,4.45,4.6483,4.0944
37,0.966127,3.8248,4.5206,0.1561,4.2885,4.4749,3.9482
38,0.993454,3.832,4.5017,0.2161,4.142,4.3179,3.816
39,1.010097,3.8363,4.4923,0.2496,4.0607,4.2304,3.7431
40,1.021733,3.8391,4.4875,0.2707,4.0093,4.1753,3.6978
41,1.043677,3.8449,4.4777,0.3128,3.9073,4.0652,3.6073
42,1.088922,3.8574,4.4541,0.4051,3.6829,3.8234,3.408
43,1.137423,3.8713,4.4313,0.5029,3.4465,3.5671,3.2035
44,1.177804,3.8833,4.417,0.5819,3.2571,3.3604,3.0419
45,1.205041,3.8928,4.4144,0.6321,3.1375,3.2292,2.9426
46,1.223658,3.9003,4.419,0.664,3.0623,3.1446,2.8843
47,1.238067,3.9066,4.4257,0.6873,3.0066,3.0818,2.8413
48,1.250744,3.9125,4.4337,0.7076,2.9577,3.0283,2.8013
49,1.263097,3.9184,4.4411,0.7275,2.9112,2.9768,2.7644
50,1.276288,3.9241,4.4468,0.749,2.8635,2.9219,2.7296
51,1.290157,3.9296,4.4508,0.7718,2.8134,2.8643,2.693
52,1.300097,3.9334,4.4525,0.7883,2.7763,2.8228,2.6647
53,1.310088,3.937,4.4541,0.8048,2.7393,2.7815,2.6358
54,1.320029,3.9405,4.4552,0.821,2.7027,2.7407,2.6071
55,1.329793,3.9439,4.4559,0.8368,2.6673,2.7014,2.5798
56,1.33951,3.9471,4.4561,0.8524,2.6331,2.663,2.5535
57,1.349229,3.9501,4.456,0.868,2.5997,2.6255,2.5281
