#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
2,0.150248,3.5537,5.1457,-2.3359,11.0652,12.0698,10.1073
3,0.162798,3.5586,5.1039,-2.2426,10.8117,11.7915,9.8653
4,0.188166,3.568,5.0388,-2.0679,10.33,11.2504,9.4096
5,0.251526,3.5915,4.9595,-1.7302,9.3694,10.1365,8.5159
6,0.354385,3.6187,4.922,-1.3817,8.3866,9.0196,7.6038
7,0.48805,3.6267,4.8559,-1.1073,7.694,8.3259,6.9238
8,0.48119,3.6139,4.9016,-1.2917,8.2189,8.9356,7.4129
9,0.384191,3.5985,4.9623,-1.5808,9.0051,9.8009,8.1586
10,0.353235,3.5935,4.9827,-1.6666,9.236,10.054,8.378
11,0.349321,3.5924,4.9841,-1.6757,9.2632,10.0828,8.4026
12,0.350673,3.5929,4.9814,-1.6717,9.2506,10.07,8.3913
13,0.35372,3.5933,4.9766,-1.6612,9.2234,10.0412,8.3652
14,0.361094,3.5947,4.9675,-1.6388,9.1645,9.9778,8.3088
15,0.368745,3.5947,4.9601,-1.6185,9.1098,9.9216,8.2562
16,0.473238,3.6146,4.8576,-1.3151,8.264,8.9707,7.4653
17,0.725027,3.6658,4.62,-0.5871,6.2798,6.7731,5.6038
18,0.684845,3.6638,4.6536,-0.6865,6.5589,7.0831,5.8697
19,0.479074,3.6259,4.8342,-1.2569,8.0981,8.7756,7.3223
20,0.487464,3.6308,4.8223,-1.2207,7.9949,8.6549,7.2292
21,0.531082,3.6447,4.7756,-1.0734,7.5839,8.1871,6.8531
22,0.572577,3.6642,4.7313,-0.9134,7.1251,7.6502,6.4475
23,0.592371,3.6781,4.7162,-0.8296,6.8718,7.3415,6.2338
24,0.590613,3.6816,4.7317,-0.8356,6.8754,7.3313,6.2497
25,0.585636,3.6828,4.7484,-0.8537,6.9119,7.3614,6.2925
26,0.582883,3.6842,4.7593,-0.8629,6.9286,7.3751,6.314
27,0.582443,3.6849,4.7645,-0.866,6.9353,7.3824,6.3232
28,0.583429,3.6864,4.7681,-0.8628,6.9283,7.375,6.319
29,0.592084,3.692,4.7661,-0.8317,6.8395,7.2713,6.2427
30,0.614656,3.7055,4.7566,-0.7521,6.6043,6.9974,6.0388
31,0.654093,3.7301,4.7425,-0.611,6.1884,6.5103,5.6804
32,0.709469,3.7637,4.7253,-0.4184,5.639,5.8732,5.2076
33,0.77685,3.7992,4.6948,-0.2021,5.0585,5.2214,4.695
34,0.858133,3.8388,4.6541,0.0507,4.42,4.5293,4.1136
35,1.885402,4.2027,3.9665,2.7577,-2.2646,-2.7758,-1.8802
36,1.565068,4.0604,4.1528,1.803,0.2235,0.0027,0.3305
37,1.102839,3.8757,4.4573,0.4892,3.5064,3.6161,3.2655
38,1.166269,3.8958,4.4258,0.629,3.1653,3.2468,2.9643
39,1.207696,3.9072,4.4134,0.7058,2.9792,3.045,2.8018
40,1.244527,3.918,4.4052,0.772,2.818,2.8723,2.6637
41,1.293871,3.933,4.3934,0.8631,2.595,2.6314,2.4725
42,1.367776,3.9564,4.374,1.0044,2.2461,2.2544,2.1723
43,1.431482,3.9782,4.3679,1.1216,1.9618,1.9438,1.9357
44,1.477174,3.9965,4.3807,1.1983,1.7784,1.7392,1.7926
45,1.502513,4.0111,4.4099,1.2319,1.7044,1.6481,1.7542
46,1.45371,4.0042,4.4606,1.1372,1.9395,1.8933,1.9808
47,1.466181,4.0145,4.4963,1.1459,1.9307,1.8724,1.9952
48,1.479096,4.024,4.5264,1.1576,1.9126,1.8458,1.9981
49,1.492168,4.0324,4.5485,1.1703,1.8893,1.8148,1.9925
50,1.524477,4.044,4.5545,1.2204,1.7792,1.6907,1.9074
51,1.565935,4.0573,4.5591,1.2821,1.6482,1.5448,1.805
52,1.577036,4.0612,4.565,1.2949,1.6298,1.5229,1.7954
53,1.587108,4.0642,4.5687,1.3061,1.6196,1.5094,1.793
54,1.596215,4.0672,4.5712,1.3157,1.6154,1.5028,1.795
55,1.60473,4.0688,4.5723,1.3241,1.6153,1.5013,1.8005
56,1.613092,4.0707,4.5722,1.3326,1.6178,1.5022,1.807
57,1.621877,4.0722,4.5725,1.3422,1.6199,1.5033,1.8133
58,1.631301,4.0741,4.5722,1.3524,1.6211,1.5035,1.8175
59,1.641066,4.0763,4.5711,1.3632,1.6218,1.5039,1.8212
60,1.650808,4.0785,4.5698,1.3738,1.6223,1.5045,1.8228
61,1.6602,4.0796,4.569,1.3844,1.6229,1.5058,1.8238
62,1.667685,4.0808,4.5681,1.3919,1.6278,1.5129,1.8261
